Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry
Jeff Bezos,177,United States,Amazon,1,57,"Seattle, Washington",United States,In Relationship,4,"Bachelor of Arts/Science, Princeton University",TRUE,POINT (-122.3300624 47.6038321)
Elon Musk,151,United States,"Tesla, SpaceX",2,49,"Austin, Texas",United States,In Relationship,7,"Bachelor of Arts/Science, University of Pennsylvania",TRUE,POINT (-97.74369950000001 30.2711286)
Bernard Arnault & family,150,France,LVMH,3,72,"Paris, France",France,Married,5,"Bachelor of Arts/Science, Ecole Polytechnique de Paris",FALSE,POINT (2.3514616 48.8566969)
Bill Gates,124,United States,Microsoft,4,65,"Medina, Washington",United States,Divorced,3,"Drop Out, Harvard University",TRUE,POINT (-122.2264453 47.620548)
Mark Zuckerberg,97,United States,Facebook,5,36,"Palo Alto, California",United States,Married,2,"Drop Out, Harvard University",TRUE,POINT (-122.1598465 37.4443293)
Warren Buffett,96,United States,Berkshire Hathaway,6,90,"Omaha, Nebraska",United States,"Widowed, Remarried",3,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln",TRUE,POINT (-95.9383758 41.2587459)
Larry Ellison,93,United States,software,7,76,"Lanai, Hawaii",United States,In Relationship,4,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign",TRUE,POINT (-156.9029493 20.8305441)
Larry Page,91.5,United States,Google,8,48,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan",TRUE,POINT (-122.1598465 37.4443293)
Sergey Brin,89,United States,Google,9,47,"Los Altos, California",United States,Married,3,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park",TRUE,POINT (-122.116578 37.3790629)
Mukesh Ambani,84.5,India,diversified,10,64,"Mumbai, India",India,Married,3,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai",FALSE,POINT (72.8773928 19.0759899)
Amancio Ortega,77,Spain,Zara,11,85,"La Coruna, Spain",Spain,Married,3,,TRUE,POINT (-8.3958768 43.3712091)
Francoise Bettencourt Meyers & family,73.6,France,L'Oréal,12,67,"Paris, France",France,Married,2,,FALSE,POINT (2.3514616 48.8566969)
Zhong Shanshan,68.9,China,"beverages, pharmaceuticals",13,66,"Hangzhou, China",China,,,,TRUE,POINT (120.2052342 30.2489634)
Steve Ballmer,68.7,United States,Microsoft,14,65,"Hunts Point, Washington",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University",TRUE,POINT (-122.230124 47.6434321)
Ma Huateng,65.8,China,internet media,15,49,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Shenzhen University",TRUE,POINT (114.0543297 22.555454)
Carlos Slim Helu & family,62.8,Mexico,telecom,16,81,"Mexico City, Mexico",Mexico,Widowed,6,"Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico",TRUE,POINT (-99.1331785 19.4326296)
Alice Walton,61.8,United States,Walmart,17,71,"Fort Worth, Texas",United States,Divorced,,"Bachelor of Arts/Science, Trinity University",FALSE,POINT (-97.33274590000001 32.753177)
Jim Walton,60.2,United States,Walmart,18,72,"Bentonville, Arkansas",United States,Married,4,"Bachelor of Arts/Science, University of Arkansas",FALSE,POINT (-94.2088172 36.3728538)
Rob Walton,59.5,United States,Walmart,19,76,"Bentonville, Arkansas",United States,Married,3,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas",FALSE,POINT (-94.2088172 36.3728538)
Michael Bloomberg,59,United States,Bloomberg LP,20,79,"New York, New York",United States,In Relationship,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University",TRUE,POINT (-74.00601519999999 40.7127281)
Colin Zheng Huang,55.3,China,e-commerce,21,41,"Shanghai, China",China,,,"Master, University of Wisconsin Madison; Bachelor of Arts/Science, Zhejiang University",TRUE,POINT (121.4692071 31.2322758)
MacKenzie Scott,53,United States,Amazon,22,51,"Seattle, Washington",United States,Married,4,"Bachelor of Arts/Science, Princeton University",FALSE,POINT (-122.3300624 47.6038321)
